Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,ANNUAL TOTAL,Year
DIDI RESEARCH AMERICA LLC,AVT055,3LN6L5MU7JR611619,0.0,0,0,0,4.5,128.8,546.84,895.66,251,568.98,214.24,850.32,1131.73,4592.07,2021
DIDI RESEARCH AMERICA LLC,AVT055,3LN6L5MU5JR618049,0.0,0,0,0,1.71,1.69,3.96,274.09,268.79,160.01,643.46,724.47,767.28,2845.46,2021
DIDI RESEARCH AMERICA LLC,AVT055,3LN6L5MU0JR618055,0.0,0,0,4.32,658.79,680.53,1098.68,837.84,424.04,198.29,659.39,296.9,998.85,5857.63,2021
DIDI RESEARCH AMERICA LLC,AVT055,3LN6L5LU5JR619400,0.0,0,0,10.34,19.85,107.37,23.95,0.29,58.95,76.39,358.69,323.72,322.34,1301.89,2021
DIDI RESEARCH AMERICA LLC,AVT055,1N4AZ1CP6JC304058,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
DIDI RESEARCH AMERICA LLC,AVT055,1N4AZ1CP5KC300293,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
EASYMILE,AVT058,VJRD1A10224000022,222.0,9,1,41,31,75,52,41,70,0,0,0,0,320,2021
GATIK AI INC.,AVT054,NM0GS9F26K1412410,6.0,136,523,517,437,311,0,0,0,0,0,0,0,1924,2021
GATIK AI INC.,AVT054,NM0LS7F25K1413020,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
GATIK AI INC.,AVT054,52CG2DGA7J0017503,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
IMAGRY INC.,AVT061,KNDCB3LC0J5177246,71.0,0,0,0,0,0,0,0,0,0,0,0,731.25,731.25,2021
LYFT,AVT045,3FA6P0RU1KR135721,0.0,111.2218376,95.13303539,88.62792569,52.47499799,18.51801176,97.63191563,16.09130511,0,0,0,0,0,479.6990292,2021
